title,story,url
연애 빠진 로맨스,"일도 연애도 마음대로 되지 않는 스물아홉 ‘자영’(전종서).  전 남친과의 격한 이별 후 호기롭게 연애 은퇴를 선언했지만 참을 수 없는 외로움에 못 이겨 최후의 보루인 데이팅 어플로 상대를 검색한다. 일도 연애도 호구 잡히기 일쑤인 서른셋 ‘우리’(손석구). 뒤통수 제대로 맞은 연애의 아픔도 잠시 편집장으로부터 19금 칼럼을 떠맡게 되고 데이팅 어플에 반강제로 가입하게 된다. 그렇게 설 명절 아침! 이름, 이유, 마음 다 감추고 만난 ‘자영’과 ‘우리’. 1도 기대하지 않았지만, 1일 차부터 둘은 서로에게 급속도로 빠져들게 되고 연애인 듯 아닌 듯 미묘한 관계 속에 누구 하나 속마음을 쉽게 터놓지 못하는데... 이게 연애가 아니면 도대체 뭔데? 발 빼려다 푹 빠졌다!",https://serieson.naver.com/v2/movie/477584
듄,"10191년, 아트레이데스 가문의 후계자인 폴(티모시 샬라메)은 시공을 초월한 존재이자 전 우주를 구원할 예지된 자의 운명을 타고났다. 그리고 어떤 계시처럼 매일 꿈에서 아라키스 행성에 있는 한 여인을 만난다. 모래언덕을 뜻하는 '듄'이라 불리는 아라키스는 물 한 방울 없는 사막이지만 우주에서 가장 비싼 물질인 신성한 환각제 스파이스의 유일한 생산지로 이를 차지하기 위한 전쟁이 치열하다. 황제의 명령으로 폴과 아트레이데스 가문은 죽음이 기다리는 아라키스로 향하는데… 위대한 자는 부름에 응답한다, 두려움에 맞서라, 이것은 위대한 시작이다!",https://serieson.naver.com/v2/movie/471011
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","“카미야 토루에 대해 잊지 말 것” 자고 일어나면 전날의 기억을 잃는 ‘선행성 기억상실증’에 걸린 소녀 ‘마오리’ “내일의 마오리도 내가 즐겁게 해줄 거야"" 누구에게도 기억되지 않는 무색무취의 평범한 소년 ‘토루’ 매일 밤 사랑이 사라지는 세계, 그럼에도 불구하고, 다음 날 서로를 향한 애틋한 고백을 반복하고 두 소년, 소녀의 가장 슬픈 청춘담",https://serieson.naver.com/v2/movie/552430
윤희에게,"평범한 일상을 살아가던 '윤희' 앞으로 도착한 한 통의 편지. 편지를 몰래 읽어본 딸 '새봄'은 편지의 내용을 숨긴 채 발신인이 살고 있는 곳으로 여행을 제안하고, '윤희'는 비밀스러웠던 첫사랑의 기억으로 가슴이 뛴다. '새봄'과 함께 여행을 떠난 ‘윤희’는 끝없이 눈이 내리는 그곳에서
첫사랑을 만날지도 모른다는 기대를 품는데…",https://serieson.naver.com/v2/movie/335790
너의 결혼식,"고3 여름, 전학생 ‘승희’(박보영)를 보고 첫눈에 반한 ‘우연’(김영광). 승희를 졸졸 쫓아다닌 끝에 마침내 공식커플로 거듭나려던 그때! 잘 지내라는 전화 한 통만 남긴 채 승희는 사라져버리고, 우연의 첫사랑은 그렇게 막을 내리는 듯했다. 1년 뒤, 승희의 흔적을 쫓아 끈질긴 노력으로 같은 대학에 합격한 우연. 그런데 그의 앞을 가로막은 건… 다름 아닌 그녀의 남.자.친.구! 예술로 빗나가는 타이밍 속 다사다난한 그들의 첫사랑 연대기는 계속된다!",https://serieson.naver.com/v2/movie/248701
클래식,"같은 대학에 다니는 지혜(손예진 분)와 수경(이수인 분)은 연극반 선배 상민(조인성 분)을 좋아한다. 하지만 호들갑스런 수경이 상민에게 보낼 편지의 대필을 부탁하고, 지혜는 수경의 이름으로 상민을 향한 자신의 감정을 고백한다. 지혜의 편지로 맺어진 수경과 상민이 가까워지면서 지혜는 괜한 죄의식에 상민을 멀리 하려 하지만, 우연하게도 자꾸만 마주치게 된다. 한편, 아빠를 일찍 여읜 지혜는 지금은 해외 여행 중인 엄마 주희와 단둘이 살다. 엄마의 빈자리를 털기 위해 다락방을 청소하던 지혜는 우연히 엄마의 비밀 상자를 발견하게 된다. 주희의 첫사랑의 기억이 고스란히 담겨있는 비밀 상자를 보면서 지혜는 엄마의 클래식한 사랑을 조금씩 알게 된다. 1968년 여름... 방학을 맞아 시골 삼촌댁에 간 준하(조승우 분)는 그곳에서 성주희(손예진 분)를 만나, 한눈에 그녀에게 매료된다. 그런 주희가 자신에게만 은밀하게 '귀신 나오는 집'에 동행해줄 것을 부탁해온다. 흔쾌히 수락한 준하는 흥분된 마음을 가까스로 누르며 주희와의 약속 장소에 나간다. 그런데 갑작스런 소나기를 만나 배가 떠내려가면서 귀가 시간이 늦어지고, 이 일로 주희는 집안 어른에게 심한 꾸중을 듣고 수원으로 보내진다. 작별 인사도 못하고 헤어진 주희를 향한 준하의 마음은 안타깝기만 하다. 그렇게 방학이 끝나고 학교로 돌아온 준하는 친구 태수에게 연애편지의 대필을 부탁받는데, 상대가 주희란 사실에 깜짝 놀란다. 하지만 태수에게 그 사실을 말하지 못하고, 태수의 이름으로 자신의 마음을 담아 주희에게 편지를 쓴다. 편지를 대신 써주며 사랑이 깊어간 엄마와 자신의 묘하게도 닮은 첫사랑. 이 우연의 일치에 내심 의아해하는 지혜는 상민에 대한 생각이 더욱 깊어만 간다. 하지만 이미 친구의 연인이 되어버린 그를 포기하기로 마음먹는데...",https://serieson.naver.com/v2/movie/754
소셜 네트워크,"5억 명의 ‘친구’가 생긴 순간 진짜 친구들은 적이 되었다! 2003년 가을, 하버드대의 컴퓨터 천재 ‘마크’는 비밀 엘리트 클럽의 윈클보스 형제에게 하버드 선남선녀들만 교류할 수 있는 ‘하버드 커넥션’ 사이트 제작을 의뢰 받는다. 하지만 여기서 획기적인 아이디어를 생각해낸 ‘마크’는 인맥 교류 사이트 ‘페이스북’을 개발, 절친 ‘왈도’의 도움으로 사이트를 오픈한다. ‘페이스북’은 순식간에 모두의 마음을 사로잡고, 유명한 냅스터의 창시자 ‘숀’의 참여로 전세계로 번지면서 ‘마크’는 기업가치 58조원, 전세계 최연소 억만장자가 된다. 하지만 그 순간 윈클보스 형제는 물론 ‘왈도’마저 전대미문의 소송을 제기하면서 하버드 천재들간의 치열한 아이디어 전쟁이 시작되는데…",https://serieson.naver.com/v2/movie/59390
이미테이션 게임,"매 순간 3명이 죽는 사상 최악의 위기에 처한 제 2차 세계대전. 절대 해독이 불가능한 암호 ‘에니그마’로 인해 연합군은 속수무책으로 당하게 된다. 결국 각 분야의 수재들을 모아 기밀 프로젝트 암호 해독팀을 가동한다. 천재 수학자 앨런 튜링(베네딕트 컴버배치)은 암호 해독을 위한 특별한 기계를 발명하지만 24시간 마다 바뀌는 완벽한 암호 체계 때문에 번번히 좌절하고 마는데... 과연, 앨런 튜링과 암호 해독팀은 암호를 풀고 전쟁의 승리를 끌어낼 수 있을까…?",https://serieson.naver.com/v2/movie/87856
나 홀로 집에 2 - 뉴욕을 헤매다,"시카고에 살고 있는 케빈네 가족은 크리스마스에 플로리다에 가기로 되어있다. 그러나 공항의 소란 속에, 홀로 뉴욕행 비행기에 오르게 되어 거대한 도시에 혼자 남게 된 케빈. 겁도 났지만, 한편으로 신나기도 하다. 이때 마브와 해리는 감옥을 탈출하여 한탕할 꿈에 부풀어 있다. 한편 케빈은 기지를 발휘하여 아버지 카드로 플로리자 호텔에 부숙, 의심스러워 하는 종업원들을 멋지게 따돌린다. 케빈은 덩컨 장난감 가게에서 만난 덩컨씨에게서 뜻 깊은 계획을 듣고 작은 부금을 내미는데 그 보답으로 작은 비들기 두 개를 선물받는다. 덩컨씨는 크리스마스때 벌은 돈을 어린이 병원에 기부하려하고 있다. 그러나 공교롭게 마브와 해리가 이 기부금을 노리고 있을 줄이야. 케빈은 덩컨가게 앞에서 마브와 해리를 만나 쫓기게 되고, 설상가상으로 케빈의 카드를 추적한 호텔직원의 저지를 받는다. 궁지에 몰린 케빈은 결국 마브와 해리에게 잡히게 되는데 이때 그들의 계획을 알게된다. 간신히 도망쳐 나간 케빈은 우연히 공원에서 비둘기 아줌마를 만나 친구가 된다. 그녀와의 대화에서 가족의 소중함을 깨달은 그는 자신의 잘못을 뉘우치는 의미에서 착한 일을 하겠다고 다짐한다. '불쌍한 어린이들의 돈을 뺏어가게 둘 순 없지' 케빈은 삼촌의 빈집을 이용하여 마브와 해리를 저지시킬 준비에 들어간다. 드디어 케빈은 가게에 숨어든 마브와 해리의 범죄현장을 카메라로 잡고 그들을 빈집으로 유인한다. 케빈의 함정에 빠져 혼이난 두 멍청한 도둑들은 결국 공원에서 케빈의 신고로 출동한 경찰에 잡히고 만다. 드디어 카드를 추적하여 케빈을 찾아온 어머니와도 극적인 상봉을 하고 다음날 케빈을 비롯해 가족 모두를 기다리는것이 있었으니, 바로 케빈의 선행에 보답하는 덩컨씨의 크리스마스 선물들이었다. 케빈은 외로운 비둘기 아줌마에게 비둘기 인형 한 개를 선물하여 영원한 우정을 약속한다.",https://serieson.naver.com/v2/movie/71884
나 홀로 집에 3,"미 국방부는 일급 기밀 컴퓨터 칩을 도난당한다. 전문적이고 무자비한 절도 행위를 자행해온 국제 범죄 조직이 블랙 마켓에서 이 컴퓨터 칩을 대가로 수백만 달러를 요구하고 있다. 이 무자비한 범죄조직의 악당들은 무선 조정 자동차에 숨겨서 공항을 빠져 나오던 중 가방이 할머니 것과 바뀌는 사건이 발생한다. 일당들은 공항에서 할머니의 집까지 태워준 택시 기사를 협박하여 할머니의 집을 알아내지만 막상 할머니 집에 도착에 동네 전체 14 가구 모두가 운전 기사가 묘사한 집과 똑같았다. 이제부터 네명의 능숙한고 고도의 훈련으로 무장한 국제 범죄자들은 컴퓨터 칩을 찾기 위한 계획적이고 치밀한 수색작업에 들어가는데 경찰과 인터폴, FBI도 이들의 작전을 막을 수 없다. 알렉스 프루이트(Alex: 알렉스 D. 린즈 분)는 상상력이 풍부한 8살 짜리 꼬마이다. 가족 모두는 휴가를 보내러 집을 비우게 되고, 수두를 앓느라 집에 혼자 남겨진 알렉스는 무료함을 달래기 위해 동네를 망원경으로 관찰하던 중 수상한 사람들을 발견하고 이들의 음모에 대응하기로 결심하게 된다.",https://serieson.naver.com/v2/movie/71882
